"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","HHOF","GP","G","A","P"
20092010,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,0,50,3,3,6
20092010,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,0,82,0,10,10
20092010,"Maxim Afinogenov","Afinogenov","Maxim","ATL","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,0,82,24,37,61
20092010,"Andrew Alberts","Alberts","Andrew","CAR, VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,0,76,3,9,12
20092010,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,0,70,20,51,71
20092010,"Bryan Allen","Allen","Bryan","FLA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,0,74,4,9,13
20092010,"Cody Almond","Almond","Cody","MIN","C","L","1989-07-24","Calgary","CAN","AB","CAN",74,199,2007,5,140,0,7,1,0,1
20092010,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,0,21,0,5,5
20092010,"Artem Anisimov","Anisimov","Artem","NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,0,82,12,16,28
20092010,"Nik Antropov","Antropov","Nik","ATL","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,0,76,24,43,67
20092010,"Colby Armstrong","Armstrong","Colby","ATL","R","R","1982-11-23","Lloydminster","CAN","SK","CAN",74,185,2001,1,21,0,79,15,14,29
20092010,"Derek Armstrong","Armstrong","Derek","STL","C","R","1973-04-23","Ottawa","CAN","ON","CAN",72,197,1992,6,128,0,6,0,0,0
20092010,"Jason Arnott","Arnott","Jason","NSH","C","R","1974-10-11","Collingwood","CAN","ON","CAN",77,220,1993,1,7,0,63,19,27,46
20092010,"Dean Arsene","Arsene","Dean","EDM","D","L","1980-07-20","Murrayville","CAN","BC","CAN",74,205,NA,NA,NA,0,13,0,0,0
20092010,"Evgeny Artyukhin","Artyukhin","Evgeny","ANA, ATL","R","L","1983-04-04","Moscow","RUS",NA,"RUS",76,255,2001,3,94,0,54,9,7,16
20092010,"Arron Asham","Asham","Arron","PHI","R","R","1978-04-13","PortageLaPrairie","CAN","MB","CAN",71,210,1996,3,71,0,72,10,14,24
20092010,"Adrian Aucoin","Aucoin","Adrian","PHX","D","R","1973-07-03","Ottawa","CAN","ON","CAN",74,215,1992,5,117,0,82,8,20,28
20092010,"Keith Aucoin","Aucoin","Keith","WSH","C","L","1978-11-06","Waltham","USA","MA","USA",68,171,NA,NA,NA,0,9,1,4,5
20092010,"Sean Avery","Avery","Sean","NYR","L","L","1980-04-10","NorthYork","CAN","ON","CAN",70,195,NA,NA,NA,0,69,11,20,31
20092010,"David Backes","Backes","David","STL","R","R","1984-05-01","Minneapolis","USA","MN","USA",75,221,2003,2,62,0,79,17,31,48
20092010,"Mikael Backlund","Backlund","Mikael","CGY","C","L","1989-03-17","Vasteras","SWE",NA,"SWE",73,199,2007,1,24,0,23,1,9,10
20092010,"Nicklas Backstrom","Backstrom","Nicklas","WSH","C","L","1987-11-23","G√vle","SWE",NA,"SWE",73,213,2006,1,4,0,82,33,68,101
20092010,"Josh Bailey","Bailey","Josh","NYI","R","L","1989-10-02","Bowmanville","CAN","ON","CAN",73,210,2008,1,9,0,73,16,19,35
20092010,"Keith Ballard","Ballard","Keith","FLA","D","L","1982-11-26","Baudette","USA","MN","USA",71,204,2002,1,11,0,82,8,20,28
20092010,"Krys Barch","Barch","Krys","DAL","R","L","1980-03-26","Hamilton","CAN","ON","CAN",74,225,1998,4,106,0,63,0,6,6
20092010,"Cam Barker","Barker","Cam","CHI, MIN","D","L","1986-04-04","Winnipeg","CAN","MB","CAN",75,223,2004,1,3,0,70,5,16,21
20092010,"Oskars Bartulis","Bartulis","Oskars","PHI","D","L","1987-01-21","Ogre","LVA",NA,"LVA",74,184,2005,3,91,0,53,1,8,9
20092010,"Nolan Baumgartner","Baumgartner","Nolan","VAN","D","R","1976-03-23","Calgary","CAN","AB","CAN",74,195,1994,1,10,0,12,1,1,2
20092010,"Jay Beagle","Beagle","Jay","WSH","C","R","1985-10-16","Calgary","CAN","AB","CAN",75,215,NA,NA,NA,0,7,1,1,2
20092010,"Francois Beauchemin","Beauchemin","Francois","TOR","D","L","1980-06-04","Sorel","CAN","QC","CAN",73,208,1998,3,75,0,82,5,21,26
20092010,"Steve Begin","Begin","Steve","BOS","L","L","1978-06-14","TroisRivieres","CAN","QC","CAN",72,192,1996,2,40,0,77,5,9,14
20092010,"Wade Belak","Belak","Wade","NSH","R","R","1976-07-03","Saskatoon","CAN","SK","CAN",77,222,1994,1,12,0,39,0,2,2
20092010,"Eric Belanger","Belanger","Eric","MIN, WSH","C","L","1977-12-16","Sherbrooke","CAN","QC","CAN",71,185,1996,4,96,0,77,15,26,41
