"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","HHOF","W","L","Ties","OTL"
20112012,"Craig Anderson","Anderson","Craig","OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,0,33,22,0,6
20112012,"Alex Auld","Auld","Alex","OTT","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,0,2,4,0,2
20112012,"Richard Bachman","Bachman","Richard","DAL","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,0,8,5,0,1
20112012,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,0,19,18,0,7
20112012,"Jonathan Bernier","Bernier","Jonathan","LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,0,5,6,0,2
20112012,"Martin Biron","Biron","Martin","NYR","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,0,12,6,0,2
20112012,"Ben Bishop","Bishop","Ben","OTT","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,0,3,3,0,2
20112012,"Sergei Bobrovsky","Bobrovsky","Sergei","PHI","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,182,NA,NA,NA,0,14,10,0,2
20112012,"Brian Boucher","Boucher","Brian","CAR","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,0,1,6,0,1
20112012,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,0,31,21,0,4
20112012,"Ilya Bryzgalov","Bryzgalov","Ilya","PHI","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,0,33,16,0,7
20112012,"Peter Budaj","Budaj","Peter","MTL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,0,5,7,0,5
20112012,"Sebastien Caron","Caron","Sebastien","TBL","G","L","1980-06-25","Amqui","CAN","QC","CAN",73,170,1999,3,86,0,1,1,0,0
20112012,"Scott Clemmensen","Clemmensen","Scott","FLA","G","L","1977-07-23","DesMoines","USA","IA","USA",74,200,1997,8,215,0,14,6,0,6
20112012,"Ty Conklin","Conklin","Ty","DET","G","L","1976-03-30","Anchorage","USA","AK","USA",73,185,NA,NA,NA,0,5,6,0,1
20112012,"Corey Crawford","Crawford","Corey","CHI","G","L","1984-12-31","Montreal","CAN","QC","CAN",74,216,2003,2,52,0,30,17,0,7
20112012,"Yann Danis","Danis","Yann","EDM","G","L","1981-06-21","Lafontaine","CAN","QC","CAN",71,180,NA,NA,NA,0,0,0,0,0
20112012,"Jeff Deslauriers","Deslauriers","Jeff","ANA","G","R","1984-05-15","StJeanRichelieu","CAN","QC","CAN",76,203,2002,2,31,0,3,1,0,0
20112012,"Rick DiPietro","DiPietro","Rick","NYI","G","R","1981-09-19","Winthrop","USA","MA","USA",72,185,2000,1,1,0,3,2,0,3
20112012,"Devan Dubnyk","Dubnyk","Devan","EDM","G","L","1986-05-04","Regina","CAN","SK","CAN",78,213,2004,1,14,0,20,20,0,3
20112012,"Brian Elliott","Elliott","Brian","STL","G","L","1985-04-09","Newmarket","CAN","ON","CAN",74,209,2003,9,291,0,23,10,0,4
20112012,"Dan Ellis","Ellis","Dan","ANA","G","L","1980-06-19","Saskatoon","CAN","SK","CAN",73,195,2000,2,60,0,1,5,0,0
20112012,"Ray Emery","Emery","Ray","CHI","G","L","1982-09-28","Hamilton","CAN","ON","CAN",74,196,2001,4,99,0,15,9,0,4
20112012,"Jhonas Enroth","Enroth","Jhonas","BUF","G","L","1988-06-25","Stockholm","SWE",NA,"SWE",70,175,2006,2,46,0,8,11,0,4
20112012,"Marc-Andre Fleury","Fleury","Marc-Andre","PIT","G","L","1984-11-28","Sorel","CAN","QC","CAN",74,180,2003,1,1,0,42,17,0,4
20112012,"Brian Foster","Foster","Brian","FLA","G","L","1987-02-04","Pembroke","USA","NH","USA",74,185,2005,5,161,0,0,0,0,0
20112012,"Mathieu Garon","Garon","Mathieu","TBL","G","R","1978-01-09","Chandler","CAN","QC","CAN",73,198,1996,2,44,0,23,16,0,4
20112012,"Jean-Sebastien Giguere","Giguere","Jean-Sebastien","COL","G","L","1977-05-16","Montreal","CAN","QC","CAN",73,202,1995,1,13,0,15,11,0,3
20112012,"Thomas Greiss","Greiss","Thomas","SJS","G","L","1986-01-29","Fussen","DEU",NA,"DEU",73,228,2004,3,94,0,9,7,0,1
20112012,"Jonas Gustavsson","Gustavsson","Jonas","TOR","G","L","1984-10-24","Danderyd","SWE",NA,"SWE",76,201,NA,NA,NA,0,17,17,0,4
20112012,"Matt Hackett","Hackett","Matt","MIN","G","L","1990-03-07","London","CAN","ON","CAN",74,179,2009,3,77,0,3,6,0,0
20112012,"Jaroslav Halak","Halak","Jaroslav","STL","G","L","1985-05-13","Bratislava","SVK",NA,"SVK",71,181,2003,9,271,0,26,12,0,7
20112012,"Josh Harding","Harding","Josh","MIN","G","R","1984-06-18","Regina","CAN","SK","CAN",74,194,2002,2,38,0,13,12,0,4
20112012,"Johan Hedberg","Hedberg","Johan","NJD","G","","1973-05-05","Leksand","SWE",NA,"SWE",72,190,1994,9,218,0,17,7,0,2
20112012,"Jonas Hiller","Hiller","Jonas","ANA","G","R","1982-02-12","FelbenWellhausen","CHE",NA,"CHE",74,191,NA,NA,NA,0,29,30,0,12
20112012,"Braden Holtby","Holtby","Braden","WSH","G","L","1989-09-16","Lloydminster","CAN","SK","CAN",74,217,2008,4,93,0,4,2,0,1
20112012,"Jimmy Howard","Howard","Jimmy","DET","G","L","1984-03-26","Syracuse","USA","NY","USA",73,218,2003,2,64,0,35,17,0,4
20112012,"Shawn Hunwick","Hunwick","Shawn","CBJ","G","L","1987-04-09","SterlingHeights","USA","MI","USA",67,166,NA,NA,NA,0,0,0,0,0
20112012,"Leland Irving","Irving","Leland","CGY","G","L","1988-04-11","Barrhead","CAN","AB","CAN",72,177,2006,1,26,0,1,3,0,3
20112012,"Brent Johnson","Johnson","Brent","PIT","G","L","1977-03-12","Farmington","USA","MI","USA",75,199,1995,5,129,0,6,7,0,2
