"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","HHOF","W","L","Ties","OTL"
20162017,"Jake Allen","Allen","Jake","STL","G","L","1990-08-07","Fredericton","CAN","NB","CAN",74,203,2008,2,34,0,33,20,0,5
20162017,"Jorge Alves","Alves","Jorge","CAR","G","L","1979-01-30","Boston","USA","MA","USA",69,185,NA,NA,NA,0,0,0,0,0
20162017,"Frederik Andersen","Andersen","Frederik","TOR","G","L","1989-10-02","Herning","DNK",NA,"DNK",76,230,2012,3,87,0,33,16,0,14
20162017,"Craig Anderson","Anderson","Craig","OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,0,25,11,0,4
20162017,"Richard Bachman","Bachman","Richard","VAN","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,0,2,3,0,0
20162017,"Jonathan Bernier","Bernier","Jonathan","ANA","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,0,21,7,0,4
20162017,"Reto Berra","Berra","Reto","FLA","G","L","1987-01-03","Bulach","CHE",NA,"CHE",76,210,2006,4,106,0,0,5,0,0
20162017,"Jean-Francois Berube","Berube","Jean-Francois","NYI","G","L","1991-07-13","Repentigny","CAN","QC","CAN",73,177,2009,4,95,0,3,2,0,2
20162017,"Antoine Bibeau","Bibeau","Antoine","TOR","G","L","1994-05-01","Victoriaville","CAN","QC","CAN",75,205,2013,6,172,0,1,1,0,0
20162017,"Ben Bishop","Bishop","Ben","TBL, LAK","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,0,18,15,0,5
20162017,"Sergei Bobrovsky","Bobrovsky","Sergei","CBJ","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,182,NA,NA,NA,0,41,17,0,5
20162017,"Laurent Brossoit","Brossoit","Laurent","EDM","G","L","1993-03-23","PortAlberni","CAN","BC","CAN",75,204,2011,6,164,0,4,1,0,0
20162017,"Peter Budaj","Budaj","Peter","LAK, TBL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,0,30,21,0,3
20162017,"Jack Campbell","Campbell","Jack","LAK","G","L","1992-01-09","PortHuron","USA","MI","USA",74,197,2010,1,11,0,0,0,0,0
20162017,"Eric Comrie","Comrie","Eric","WPG","G","L","1995-07-06","Edmonton","CAN","AB","CAN",73,175,2013,2,59,0,1,0,0,0
20162017,"Mike Condon","Condon","Mike","PIT, OTT","G","L","1990-04-27","Holliston","USA","MA","USA",74,197,NA,NA,NA,0,19,14,0,6
