"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","HHOF","GP","G","A","P"
20102011,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,0,74,7,12,19
20102011,"Luke Adam","Adam","Luke","BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,0,19,3,1,4
20102011,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,0,80,4,11,15
20102011,"Andrew Alberts","Alberts","Andrew","VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,0,42,1,6,7
20102011,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,0,54,14,17,31
20102011,"Bryan Allen","Allen","Bryan","FLA, CAR","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,0,72,4,13,17
20102011,"Cody Almond","Almond","Cody","MIN","C","L","1989-07-24","Calgary","CAN","AB","CAN",74,199,2007,5,140,0,8,0,0,0
20102011,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,0,82,2,10,12
20102011,"Jonas Andersson","Andersson","Jonas","VAN","R","L","1981-02-24","Lidingo","SWE",NA,"SWE",75,204,1999,2,33,0,4,0,0,0
20102011,"Artem Anisimov","Anisimov","Artem","NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,0,82,18,26,44
20102011,"Nik Antropov","Antropov","Nik","ATL","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,0,76,16,25,41
20102011,"Colby Armstrong","Armstrong","Colby","TOR","R","R","1982-11-23","Lloydminster","CAN","SK","CAN",74,185,2001,1,21,0,50,8,15,23
20102011,"Jamie Arniel","Arniel","Jamie","BOS","C","R","1989-11-16","Kingston","CAN","ON","CAN",71,183,2008,4,97,0,1,0,0,0
20102011,"Jason Arnott","Arnott","Jason","NJD, WSH","C","R","1974-10-11","Collingwood","CAN","ON","CAN",77,220,1993,1,7,0,73,17,14,31
20102011,"Arron Asham","Asham","Arron","PIT","R","R","1978-04-13","PortageLaPrairie","CAN","MB","CAN",71,210,1996,3,71,0,44,5,6,11
20102011,"Adrian Aucoin","Aucoin","Adrian","PHX","D","R","1973-07-03","Ottawa","CAN","ON","CAN",74,215,1992,5,117,0,75,3,19,22
20102011,"Keith Aucoin","Aucoin","Keith","WSH","C","L","1978-11-06","Waltham","USA","MA","USA",68,171,NA,NA,NA,0,1,0,0,0
20102011,"Keith Aulie","Aulie","Keith","TOR","D","L","1989-06-11","Rouleau","CAN","SK","CAN",78,222,2007,4,116,0,40,2,0,2
20102011,"Sean Avery","Avery","Sean","NYR","L","L","1980-04-10","NorthYork","CAN","ON","CAN",70,195,NA,NA,NA,0,76,3,21,24
