"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","HHOF","GP","G","A","P"
20132014,"Spencer Abbott","Abbott","Spencer","TOR","L","R","1988-04-30","Hamilton","CAN","ON","CAN",69,170,NA,NA,NA,0,1,0,0,0
20132014,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,0,70,10,18,28
20132014,"Will Acton","Acton","Will","EDM","C","L","1987-07-16","Edina","USA","MN","USA",75,202,NA,NA,NA,0,30,3,2,5
20132014,"Luke Adam","Adam","Luke","BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,0,12,1,0,1
20132014,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,0,82,5,6,11
20132014,"Kenny Agostino","Agostino","Kenny","CGY","L","L","1992-04-30","Morristown","USA","NJ","USA",72,202,2010,5,140,0,8,1,1,2
20132014,"Jason Akeson","Akeson","Jason","PHI","R","R","1990-06-03","Ottawa","CAN","ON","CAN",70,185,NA,NA,NA,0,1,0,1,1
20132014,"John Albert","Albert","John","WPG","C","L","1989-01-19","Cleveland","USA","OH","USA",71,190,2007,6,175,0,9,1,0,1
20132014,"Andrew Alberts","Alberts","Andrew","VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,0,10,0,0,0
20132014,"Daniel Alfredsson","Alfredsson","Daniel","DET","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,0,68,18,31,49
20132014,"Bryan Allen","Allen","Bryan","ANA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,0,68,0,10,10
20132014,"Conor Allen","Allen","Conor","NYR","D","L","1990-01-31","Chicago","USA","IL","USA",73,210,NA,NA,NA,0,3,0,0,0
20132014,"Adam Almquist","Almquist","Adam","DET","D","L","1991-02-27","J√nk√ping","SWE",NA,"SWE",71,174,2009,7,210,0,2,1,0,1
20132014,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,0,82,2,16,18
20132014,"Joakim Andersson","Andersson","Joakim","DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,0,65,8,9,17
20132014,"Artem Anisimov","Anisimov","Artem","CBJ","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,0,81,22,17,39
20132014,"Darren Archibald","Archibald","Darren","VAN","R","L","1990-02-09","Newmarket","CAN","ON","CAN",75,210,NA,NA,NA,0,16,1,2,3
20132014,"Mark Arcobello","Arcobello","Mark","EDM","R","R","1988-08-12","Milford","USA","CT","USA",68,174,NA,NA,NA,0,41,4,14,18
20132014,"Bill Arnold","Arnold","Bill","CGY","C","R","1992-05-13","Boston","USA","MA","USA",72,193,2010,4,108,0,1,0,0,0
20132014,"Arron Asham","Asham","Arron","NYR","R","R","1978-04-13","PortageLaPrairie","CAN","MB","CAN",71,210,1996,3,71,0,6,0,0,0
20132014,"Carter Ashton","Ashton","Carter","TOR","R","L","1991-04-01","Winnipeg","CAN","MB","CAN",75,215,2009,1,29,0,32,0,3,3
20132014,"Cam Atkinson","Atkinson","Cam","CBJ","R","R","1989-06-05","Riverside","USA","CT","USA",68,182,2008,6,157,0,79,21,19,40
20132014,"Keith Aucoin","Aucoin","Keith","STL","C","L","1978-11-06","Waltham","USA","MA","USA",68,171,NA,NA,NA,0,2,0,0,0
20132014,"Keith Aulie","Aulie","Keith","TBL","D","L","1989-06-11","Rouleau","CAN","SK","CAN",78,222,2007,4,116,0,15,0,1,1
20132014,"David Backes","Backes","David","STL","R","R","1984-05-01","Minneapolis","USA","MN","USA",75,221,2003,2,62,0,74,27,30,57
20132014,"Mikael Backlund","Backlund","Mikael","CGY","C","L","1989-03-17","Vasteras","SWE",NA,"SWE",73,199,2007,1,24,0,76,18,21,39
20132014,"Nicklas Backstrom","Backstrom","Nicklas","WSH","C","L","1987-11-23","G√vle","SWE",NA,"SWE",73,213,2006,1,4,0,82,18,61,79
20132014,"Sven Baertschi","Baertschi","Sven","CGY","L","L","1992-10-05","Bern","CHE",NA,"CHE",71,192,2011,1,13,0,26,2,9,11
20132014,"Josh Bailey","Bailey","Josh","NYI","R","L","1989-10-02","Bowmanville","CAN","ON","CAN",73,210,2008,1,9,0,77,8,30,38
20132014,"Keith Ballard","Ballard","Keith","MIN","D","L","1982-11-26","Baudette","USA","MN","USA",71,204,2002,1,11,0,45,2,7,9
20132014,"Mark Barberio","Barberio","Mark","TBL","D","L","1990-03-23","Montreal","CAN","QC","CAN",73,207,2008,6,152,0,49,5,5,10
20132014,"Krys Barch","Barch","Krys","FLA","R","L","1980-03-26","Hamilton","CAN","ON","CAN",74,225,1998,4,106,0,55,0,4,4
20132014,"Aleksander Barkov","Barkov","Aleksander","FLA","C","L","1995-09-02","Tampere","FIN",NA,"FIN",75,213,2013,1,2,0,54,8,16,24
20132014,"Tyson Barrie","Barrie","Tyson","COL","D","R","1991-07-26","Victoria","CAN","BC","CAN",70,190,2009,3,64,0,64,13,25,38
20132014,"Matt Bartkowski","Bartkowski","Matt","BOS","D","L","1988-06-04","Pittsburgh","USA","PA","USA",73,196,2008,7,190,0,64,0,18,18
20132014,"Victor Bartley","Bartley","Victor","NSH","D","L","1988-02-17","Ottawa","CAN","ON","CAN",72,217,NA,NA,NA,0,50,1,5,6
20132014,"Cody Bass","Bass","Cody","CBJ","C","R","1987-01-07","Owensound","CAN","ON","CAN",72,205,2005,4,95,0,1,0,0,0
20132014,"Jay Beagle","Beagle","Jay","WSH","C","R","1985-10-16","Calgary","CAN","AB","CAN",75,215,NA,NA,NA,0,62,4,5,9
20132014,"Francois Beauchemin","Beauchemin","Francois","ANA","D","L","1980-06-04","Sorel","CAN","QC","CAN",73,208,1998,3,75,0,70,4,13,17
20132014,"Nathan Beaulieu","Beaulieu","Nathan","MTL","D","L","1992-12-05","Strathroy","CAN","ON","CAN",74,205,2011,1,17,0,17,0,2,2
20132014,"Taylor Beck","Beck","Taylor","NSH","L","R","1991-05-13","StCatharines","CAN","ON","CAN",74,203,2009,3,70,0,7,0,0,0
20132014,"Matt Beleskey","Beleskey","Matt","ANA","L","L","1988-06-07","Windsor","CAN","ON","CAN",72,203,2006,4,112,0,55,9,15,24
20132014,"Brett Bellemore","Bellemore","Brett","CAR","D","R","1988-06-25","Windsor","CAN","ON","CAN",76,225,2007,6,162,0,64,2,6,8
20132014,"Anton Belov","Belov","Anton","EDM","D","L","1986-07-29","Ryazan","RUS",NA,"RUS",76,218,NA,NA,NA,0,57,1,6,7
20132014,"Jamie Benn","Benn","Jamie","DAL","L","L","1989-07-18","Victoria","CAN","BC","CAN",74,210,2007,5,129,0,81,34,45,79
20132014,"Jordie Benn","Benn","Jordie","DAL","D","L","1987-07-26","Victoria","CAN","BC","CAN",74,200,NA,NA,NA,0,78,3,17,20
20132014,"Beau Bennett","Bennett","Beau","PIT","R","R","1991-11-27","Gardena","USA","CA","USA",74,195,2010,1,20,0,21,3,4,7
20132014,"Andre Benoit","Benoit","Andre","COL","D","L","1984-01-06","StAlbert","CAN","ON","CAN",71,191,NA,NA,NA,0,79,7,21,28
20132014,"Sean Bergenheim","Bergenheim","Sean","FLA","L","L","1984-02-08","Helsinki","FIN",NA,"FIN",71,201,2002,1,22,0,62,16,13,29
20132014,"Patrice Bergeron","Bergeron","Patrice","BOS","C","R","1985-07-24","AncienneLorette","CAN","QC","CAN",73,195,2003,2,45,0,80,30,32,62
20132014,"Patrik Berglund","Berglund","Patrik","STL","C","L","1988-06-02","V√ster√s","SWE",NA,"SWE",76,223,2006,1,25,0,78,14,18,32
20132014,"Steve Bernier","Bernier","Steve","NJD","R","R","1985-03-31","QuebecCity","CAN","QC","CAN",75,220,2003,1,16,0,78,3,9,12
20132014,"Todd Bertuzzi","Bertuzzi","Todd","DET","R","L","1975-02-02","Sudbury","CAN","ON","CAN",75,229,1993,1,23,0,59,9,7,16
20132014,"Bryan Bickell","Bickell","Bryan","CHI","L","L","1986-03-09","Bowmanville","CAN","ON","CAN",76,223,2004,2,41,0,59,11,4,15
20132014,"Kevin Bieksa","Bieksa","Kevin","VAN","D","R","1981-06-16","Grimsby","CAN","ON","CAN",73,200,2001,5,151,0,76,4,20,24
20132014,"Chad Billins","Billins","Chad","CGY","D","L","1989-05-26","PortHuron","USA","MI","USA",70,180,NA,NA,NA,0,10,0,3,3
20132014,"Paul Bissonnette","Bissonnette","Paul","PHX","L","L","1985-03-11","Welland","CAN","ON","CAN",74,216,2003,4,121,0,39,2,6,8
