"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","HHOF","W","L","Ties","OTL"
20102011,"Craig Anderson","Anderson","Craig","COL, OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,0,24,20,0,4
20102011,"Alex Auld","Auld","Alex","MTL","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,0,6,2,0,2
20102011,"Richard Bachman","Bachman","Richard","DAL","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,0,0,0,0,0
20102011,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,0,22,23,0,5
20102011,"Jonathan Bernier","Bernier","Jonathan","LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,0,11,8,0,3
20102011,"Martin Biron","Biron","Martin","NYR","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,0,8,6,0,0
20102011,"Ben Bishop","Bishop","Ben","STL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,0,3,4,0,0
20102011,"Sergei Bobrovsky","Bobrovsky","Sergei","PHI","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,182,NA,NA,NA,0,28,13,0,8
20102011,"Brian Boucher","Boucher","Brian","PHI","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,0,18,10,0,4
20102011,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,0,23,26,0,3
20102011,"Mike Brodeur","Brodeur","Mike","OTT","G","L","1983-03-30","Calgary","CAN","AB","CAN",74,185,2003,7,211,0,0,1,0,0
20102011,"Ilya Bryzgalov","Bryzgalov","Ilya","PHX","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,0,36,20,0,10
20102011,"Peter Budaj","Budaj","Peter","COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,0,15,21,0,4
20102011,"Scott Clemmensen","Clemmensen","Scott","FLA","G","L","1977-07-23","DesMoines","USA","IA","USA",74,200,1997,8,215,0,8,11,0,7
20102011,"Matt Climie","Climie","Matt","PHX","G","L","1983-02-11","Leduc","CAN","AB","CAN",75,194,NA,NA,NA,0,0,0,0,0
20102011,"Ty Conklin","Conklin","Ty","STL","G","L","1976-03-30","Anchorage","USA","AK","USA",73,185,NA,NA,NA,0,8,8,0,4
20102011,"Corey Crawford","Crawford","Corey","CHI","G","L","1984-12-31","Montreal","CAN","QC","CAN",74,216,2003,2,52,0,33,18,0,6
20102011,"Mark Dekanich","Dekanich","Mark","NSH","G","L","1986-05-10","NVancouver","CAN","BC","CAN",74,185,2006,5,146,0,0,0,0,0
20102011,"Cedrick Desjardins","Desjardins","Cedrick","TBL","G","R","1985-09-30","Edmundston","CAN","NB","CAN",72,192,NA,NA,NA,0,2,0,0,0
20102011,"Rick DiPietro","DiPietro","Rick","NYI","G","R","1981-09-19","Winthrop","USA","MA","USA",72,185,2000,1,1,0,8,14,0,4
20102011,"Devan Dubnyk","Dubnyk","Devan","EDM","G","L","1986-05-04","Regina","CAN","SK","CAN",78,213,2004,1,14,0,12,13,0,8
20102011,"Brian Elliott","Elliott","Brian","OTT, COL","G","L","1985-04-09","Newmarket","CAN","ON","CAN",74,209,2003,9,291,0,15,27,0,9
20102011,"Dan Ellis","Ellis","Dan","TBL, ANA","G","L","1980-06-19","Saskatoon","CAN","SK","CAN",73,195,2000,2,60,0,21,10,0,7
20102011,"Ray Emery","Emery","Ray","ANA","G","L","1982-09-28","Hamilton","CAN","ON","CAN",74,196,2001,4,99,0,7,2,0,0
20102011,"Jhonas Enroth","Enroth","Jhonas","BUF","G","L","1988-06-25","Stockholm","SWE",NA,"SWE",70,175,2006,2,46,0,9,2,0,2
20102011,"Marc-Andre Fleury","Fleury","Marc-Andre","PIT","G","L","1984-11-28","Sorel","CAN","QC","CAN",74,180,2003,1,1,0,36,20,0,5
20102011,"Mathieu Garon","Garon","Mathieu","CBJ","G","R","1978-01-09","Chandler","CAN","QC","CAN",73,198,1996,2,44,0,10,14,0,6
20102011,"Martin Gerber","Gerber","Martin","EDM","G","L","1974-09-03","Burgdorf","CHE",NA,"CHE",72,205,2001,8,232,0,3,0,0,0
20102011,"Jean-Sebastien Giguere","Giguere","Jean-Sebastien","TOR","G","L","1977-05-16","Montreal","CAN","QC","CAN",73,202,1995,1,13,0,11,11,0,4
20102011,"Jonas Gustavsson","Gustavsson","Jonas","TOR","G","L","1984-10-24","Danderyd","SWE",NA,"SWE",76,201,NA,NA,NA,0,6,13,0,2
20102011,"Jaroslav Halak","Halak","Jaroslav","STL","G","L","1985-05-13","Bratislava","SVK",NA,"SVK",71,181,2003,9,271,0,27,21,0,7
20102011,"Johan Hedberg","Hedberg","Johan","NJD","G","","1973-05-05","Leksand","SWE",NA,"SWE",72,190,1994,9,218,0,15,12,0,2
20102011,"Jonas Hiller","Hiller","Jonas","ANA","G","R","1982-02-12","FelbenWellhausen","CHE",NA,"CHE",74,191,NA,NA,NA,0,26,16,0,3
20102011,"Braden Holtby","Holtby","Braden","WSH","G","L","1989-09-16","Lloydminster","CAN","SK","CAN",74,217,2008,4,93,0,10,2,0,2
20102011,"Jimmy Howard","Howard","Jimmy","DET","G","L","1984-03-26","Syracuse","USA","NY","USA",73,218,2003,2,64,0,37,17,0,5
20102011,"Brent Johnson","Johnson","Brent","PIT","G","L","1977-03-12","Farmington","USA","MI","USA",75,199,1995,5,129,0,13,5,0,3
20102011,"Chad Johnson","Johnson","Chad","NYR","G","L","1986-06-10","Saskatoon","CAN","SK","CAN",75,196,2006,5,125,0,0,0,0,0
20102011,"Henrik Karlsson","Karlsson","Henrik","CGY","G","L","1983-11-27","Tumba","SWE",NA,"SWE",78,209,NA,NA,NA,0,4,5,0,6
20102011,"Nikolai Khabibulin","Khabibulin","Nikolai","EDM","G","L","1973-01-13","Sverdlovsk","RUS",NA,"RUS",73,208,1992,9,204,0,10,32,0,4
20102011,"Anton Khudobin","Khudobin","Anton","MIN","G","L","1986-05-07","UstKamenogorsk","KAZ",NA,"RUS",71,195,2004,7,206,0,2,1,0,0
20102011,"Miikka Kiprusoff","Kiprusoff","Miikka","CGY","G","L","1976-10-26","Turku","FIN",NA,"FIN",73,185,1995,5,116,0,37,24,0,6
20102011,"Mikko Koskinen","Koskinen","Mikko","NYI","G","L","1988-07-18","Vantaa","FIN",NA,"FIN",78,205,2009,2,31,0,2,1,0,0
20102011,"Jason LaBarbera","LaBarbera","Jason","PHX","G","L","1980-01-18","Burnaby","CAN","BC","CAN",75,232,1998,3,66,0,7,6,0,3
