"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","HHOF","GP","G","A","P"
20112012,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,0,81,8,14,22
20112012,"Luke Adam","Adam","Luke","BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,0,52,10,10,20
20112012,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,0,82,5,13,18
20112012,"Andrew Alberts","Alberts","Andrew","VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,0,44,2,1,3
20112012,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,0,75,27,32,59
20112012,"Akim Aliu","Aliu","Akim","CGY","R","R","1989-04-24","Okene","NGA",NA,"NGA",76,225,2007,2,56,0,2,2,1,3
20112012,"Bryan Allen","Allen","Bryan","CAR","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,0,82,1,13,14
20112012,"Cody Almond","Almond","Cody","MIN","C","L","1989-07-24","Calgary","CAN","AB","CAN",74,199,2007,5,140,0,10,1,0,1
20112012,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,0,82,1,16,17
20112012,"Joakim Andersson","Andersson","Joakim","DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,0,5,0,0,0
20112012,"Mike Angelidis","Angelidis","Mike","TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,0,6,1,0,1
20112012,"Artem Anisimov","Anisimov","Artem","NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,0,79,16,20,36
20112012,"Nik Antropov","Antropov","Nik","WPG","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,0,69,15,20,35
20112012,"Colby Armstrong","Armstrong","Colby","TOR","R","R","1982-11-23","Lloydminster","CAN","SK","CAN",74,185,2001,1,21,0,29,1,2,3
20112012,"Jason Arnott","Arnott","Jason","STL","C","R","1974-10-11","Collingwood","CAN","ON","CAN",77,220,1993,1,7,0,72,17,17,34
20112012,"Arron Asham","Asham","Arron","PIT","R","R","1978-04-13","PortageLaPrairie","CAN","MB","CAN",71,210,1996,3,71,0,64,5,11,16
20112012,"Carter Ashton","Ashton","Carter","TOR","R","L","1991-04-01","Winnipeg","CAN","MB","CAN",75,215,2009,1,29,0,15,0,0,0
20112012,"Cam Atkinson","Atkinson","Cam","CBJ","R","R","1989-06-05","Riverside","USA","CT","USA",68,182,2008,6,157,0,27,7,7,14
20112012,"Adrian Aucoin","Aucoin","Adrian","PHX","D","R","1973-07-03","Ottawa","CAN","ON","CAN",74,215,1992,5,117,0,64,2,7,9
20112012,"Keith Aucoin","Aucoin","Keith","WSH","C","L","1978-11-06","Waltham","USA","MA","USA",68,171,NA,NA,NA,0,27,3,8,11
20112012,"Keith Aulie","Aulie","Keith","TOR, TBL","D","L","1989-06-11","Rouleau","CAN","SK","CAN",78,222,2007,4,116,0,36,0,3,3
20112012,"Sean Avery","Avery","Sean","NYR","L","L","1980-04-10","NorthYork","CAN","ON","CAN",70,195,NA,NA,NA,0,15,3,0,3
20112012,"Anton Babchuk","Babchuk","Anton","CGY","D","R","1984-05-06","Kiev","UKR",NA,"UKR",77,200,2002,1,21,0,32,2,8,10
20112012,"David Backes","Backes","David","STL","R","R","1984-05-01","Minneapolis","USA","MN","USA",75,221,2003,2,62,0,82,24,30,54
20112012,"Mikael Backlund","Backlund","Mikael","CGY","C","L","1989-03-17","Vasteras","SWE",NA,"SWE",73,199,2007,1,24,0,41,4,7,11
20112012,"Nicklas Backstrom","Backstrom","Nicklas","WSH","C","L","1987-11-23","G√vle","SWE",NA,"SWE",73,213,2006,1,4,0,42,14,30,44
20112012,"Sven Baertschi","Baertschi","Sven","CGY","L","L","1992-10-05","Bern","CHE",NA,"CHE",71,192,2011,1,13,0,5,3,0,3
20112012,"Josh Bailey","Bailey","Josh","NYI","R","L","1989-10-02","Bowmanville","CAN","ON","CAN",73,210,2008,1,9,0,80,13,19,32
20112012,"Keith Ballard","Ballard","Keith","VAN","D","L","1982-11-26","Baudette","USA","MN","USA",71,204,2002,1,11,0,47,1,6,7
20112012,"Krys Barch","Barch","Krys","DAL, FLA","R","L","1980-03-26","Hamilton","CAN","ON","CAN",74,225,1998,4,106,0,51,2,3,5
20112012,"Cam Barker","Barker","Cam","EDM","D","L","1986-04-04","Winnipeg","CAN","MB","CAN",75,223,2004,1,3,0,25,2,0,2
20112012,"Tyson Barrie","Barrie","Tyson","COL","D","R","1991-07-26","Victoria","CAN","BC","CAN",70,190,2009,3,64,0,10,0,0,0
20112012,"Matt Bartkowski","Bartkowski","Matt","BOS","D","L","1988-06-04","Pittsburgh","USA","PA","USA",73,196,2008,7,190,0,3,0,0,0
20112012,"Cody Bass","Bass","Cody","CBJ","C","R","1987-01-07","Owensound","CAN","ON","CAN",72,205,2005,4,95,0,14,0,1,1
20112012,"Jay Beagle","Beagle","Jay","WSH","C","R","1985-10-16","Calgary","CAN","AB","CAN",75,215,NA,NA,NA,0,41,4,1,5
20112012,"Francois Beauchemin","Beauchemin","Francois","ANA","D","L","1980-06-04","Sorel","CAN","QC","CAN",73,208,1998,3,75,0,82,8,14,22
20112012,"Eric Belanger","Belanger","Eric","EDM","C","L","1977-12-16","Sherbrooke","CAN","QC","CAN",71,185,1996,4,96,0,78,4,12,16
20112012,"Matt Beleskey","Beleskey","Matt","ANA","L","L","1988-06-07","Windsor","CAN","ON","CAN",72,203,2006,4,112,0,70,4,11,15
20112012,"Brendan Bell","Bell","Brendan","NYR","D","L","1983-03-31","Ottawa","CAN","ON","CAN",74,205,2001,3,65,0,1,0,0,0
20112012,"Mark Bell","Bell","Mark","ANA","C","L","1980-08-05","StPauls","CAN","ON","CAN",76,220,1998,1,8,0,5,0,0,0
20112012,"Jamie Benn","Benn","Jamie","DAL","L","L","1989-07-18","Victoria","CAN","BC","CAN",74,210,2007,5,129,0,71,26,37,63
20112012,"Jordie Benn","Benn","Jordie","DAL","D","L","1987-07-26","Victoria","CAN","BC","CAN",74,200,NA,NA,NA,0,3,0,2,2
20112012,"Sean Bergenheim","Bergenheim","Sean","FLA","L","L","1984-02-08","Helsinki","FIN",NA,"FIN",71,201,2002,1,22,0,62,17,6,23
20112012,"Marc-Andre Bergeron","Bergeron","Marc-Andre","TBL","D","L","1980-10-13","TroisRivieres","CAN","QC","CAN",69,190,NA,NA,NA,0,43,4,20,24
20112012,"Patrice Bergeron","Bergeron","Patrice","BOS","C","R","1985-07-24","AncienneLorette","CAN","QC","CAN",73,195,2003,2,45,0,81,22,42,64
20112012,"Niclas Bergfors","Bergfors","Niclas","NSH","R","R","1987-03-07","Sodertalje","SWE",NA,"SWE",70,194,2005,1,23,0,11,1,1,2
