"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","HHOF","GP","G","A","P"
20142015,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,0,71,23,21,44
20142015,"Will Acton","Acton","Will","EDM","C","L","1987-07-16","Edina","USA","MN","USA",75,202,NA,NA,NA,0,3,0,0,0
20142015,"Luke Adam","Adam","Luke","CBJ","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,0,3,0,0,0
20142015,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,0,70,1,6,7
20142015,"Andrew Agozzino","Agozzino","Andrew","COL","L","L","1991-01-03","Kleinburg","CAN","ON","CAN",70,187,NA,NA,NA,0,1,0,1,1
20142015,"Jason Akeson","Akeson","Jason","PHI","R","R","1990-06-03","Ottawa","CAN","ON","CAN",70,185,NA,NA,NA,0,13,0,0,0
20142015,"Bryan Allen","Allen","Bryan","ANA, MTL","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,0,11,0,2,2
20142015,"Conor Allen","Allen","Conor","NYR","D","L","1990-01-31","Chicago","USA","IL","USA",73,210,NA,NA,NA,0,4,0,0,0
20142015,"Mark Alt","Alt","Mark","PHI","D","R","1991-10-18","KansasCity","USA","MO","USA",76,201,2010,2,53,0,1,0,0,0
20142015,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,0,82,5,16,21
20142015,"Josh Anderson","Anderson","Josh","CBJ","R","R","1994-05-07","Burlington","CAN","ON","CAN",75,221,2012,4,95,0,6,0,1,1
20142015,"Joakim Andersson","Andersson","Joakim","DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,0,68,3,5,8
20142015,"Andy Andreoff","Andreoff","Andy","LAK","L","L","1991-05-17","Pickering","CAN","ON","CAN",73,210,2011,3,80,0,18,2,1,3
20142015,"Sven Andrighetto","Andrighetto","Sven","MTL","R","L","1993-03-21","Zurich","CHE",NA,"CHE",70,188,2013,3,86,0,12,2,1,3
20142015,"Mike Angelidis","Angelidis","Mike","TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,0,3,0,0,0
20142015,"Artem Anisimov","Anisimov","Artem","CBJ","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,0,52,7,20,27
20142015,"Mark Arcobello","Arcobello","Mark","EDM, NSH, PIT, ARI","R","R","1988-08-12","Milford","USA","CT","USA",68,174,NA,NA,NA,0,77,17,14,31
20142015,"Joel Armia","Armia","Joel","BUF","R","R","1993-05-31","Pori","FIN",NA,"FIN",75,205,2011,1,16,0,1,0,0,0
20142015,"Viktor Arvidsson","Arvidsson","Viktor","NSH","L","R","1993-04-08","Skellefte√","SWE",NA,"SWE",69,180,2014,4,112,0,6,0,0,0
20142015,"Carter Ashton","Ashton","Carter","TOR","R","L","1991-04-01","Winnipeg","CAN","MB","CAN",75,215,2009,1,29,0,7,0,0,0
20142015,"Cam Atkinson","Atkinson","Cam","CBJ","R","R","1989-06-05","Riverside","USA","CT","USA",68,182,2008,6,157,0,78,22,18,40
20142015,"Keith Aulie","Aulie","Keith","EDM","D","L","1989-06-11","Rouleau","CAN","SK","CAN",78,222,2007,4,116,0,31,0,1,1
20142015,"David Backes","Backes","David","STL","R","R","1984-05-01","Minneapolis","USA","MN","USA",75,221,2003,2,62,0,80,26,32,58
20142015,"Mikael Backlund","Backlund","Mikael","CGY","C","L","1989-03-17","Vasteras","SWE",NA,"SWE",73,199,2007,1,24,0,52,10,17,27
20142015,"Nicklas Backstrom","Backstrom","Nicklas","WSH","C","L","1987-11-23","G√vle","SWE",NA,"SWE",73,213,2006,1,4,0,82,18,60,78
20142015,"Sven Baertschi","Baertschi","Sven","CGY, VAN","L","L","1992-10-05","Bern","CHE",NA,"CHE",71,192,2011,1,13,0,18,2,4,6
20142015,"Casey Bailey","Bailey","Casey","TOR","R","R","1991-10-27","Anchorage","USA","AK","USA",75,195,NA,NA,NA,0,6,1,0,1
20142015,"Josh Bailey","Bailey","Josh","NYI","R","L","1989-10-02","Bowmanville","CAN","ON","CAN",73,210,2008,1,9,0,70,15,26,41
20142015,"Keith Ballard","Ballard","Keith","MIN","D","L","1982-11-26","Baudette","USA","MN","USA",71,204,2002,1,11,0,14,0,1,1
20142015,"Mark Barberio","Barberio","Mark","TBL","D","L","1990-03-23","Montreal","CAN","QC","CAN",73,207,2008,6,152,0,52,1,6,7
20142015,"Aleksander Barkov","Barkov","Aleksander","FLA","C","L","1995-09-02","Tampere","FIN",NA,"FIN",75,213,2013,1,2,0,71,16,20,36
20142015,"Tyson Barrie","Barrie","Tyson","COL","D","R","1991-07-26","Victoria","CAN","BC","CAN",70,190,2009,3,64,0,80,12,41,53
20142015,"Matt Bartkowski","Bartkowski","Matt","BOS","D","L","1988-06-04","Pittsburgh","USA","PA","USA",73,196,2008,7,190,0,47,0,4,4
20142015,"Victor Bartley","Bartley","Victor","NSH","D","L","1988-02-17","Ottawa","CAN","ON","CAN",72,217,NA,NA,NA,0,37,0,10,10
20142015,"Kyle Baun","Baun","Kyle","CHI","R","R","1992-05-04","Toronto","CAN","ON","CAN",74,209,NA,NA,NA,0,3,0,0,0
20142015,"Jay Beagle","Beagle","Jay","WSH","C","R","1985-10-16","Calgary","CAN","AB","CAN",75,215,NA,NA,NA,0,62,10,10,20
20142015,"Francois Beauchemin","Beauchemin","Francois","ANA","D","L","1980-06-04","Sorel","CAN","QC","CAN",73,208,1998,3,75,0,64,11,12,23
