"Round","Pick","NHLTeam","Name","Position","Team","League"
"1","1","Toronto","Auston Matthews","C","Zurich SC","SwissA"
"1","2","Winnipeg","Patrik Laine","R","Tappara Tampere","SMliiga"
"1","3","Columbus","Pierre-Luc Dubois","L","Cape Breton Screaming Eagles","QMJHL"
"1","4","Edmonton","Jesse Puljujarvi","R","Karpat","SMliiga"
"1","5","Vancouver","Olli Juolevi","D","London Knights","OHL"
"1","6","Calgary","Matthew Tkachuk","L","London Knights","OHL"
"1","7","Arizona","Clayton Keller","C","US National Development Team","USHL"
"1","8","Buffalo","Alexander Nylander","L","Mississauga Steelheads","OHL"
"1","9","Montreal","Mikhail Sergachev","D","Windsor Spitfires","OHL"
"1","10","Colorado","Tyson Jost","C","Penticton Vees","BCHL"
"1","11","Ottawa","Logan Brown","C","Windsor Spitfires","OHL"
"1","12","New Jersey","Michael McLeod","C","Mississauga Steelheads","OHL"
"1","13","Carolina","Jake Bean","D","Calgary Hitmen","WHL"
"1","14","Boston","Charles McAvoy","D","Boston University","HEast"
"1","15","Minnesota","Luke Kunin","C","U of Wisconsin","Big10"
"1","16","Arizona","Jakob Chychrun","D","Sarnia Sting","OHL"
"1","17","Nashville","Dante Fabbro","D","Penticton Vees","BCHL"
"1","18","Winnipeg","Logan Stanley","D","Windsor Spitfires","OHL"
"1","19","NY Islanders","Kieffer Bellows","L","US National Development Team","USHL"
"1","20","Detroit","Dennis Cholowski","D","Chilliwack Chiefs","BCHL"
"1","21","Carolina","Julien Gauthier","R","Val dOr Foreurs","QMJHL"
"1","22","Philadelphia","German Rubtsov","C","Russia U18 team",""
"1","23","Florida","Henrik Borgstrom","C","HIFK Juniors","Finland"
"1","24","Anaheim","Max Jones","L","London Knights","OHL"
"1","25","Dallas","Riley Tufte","L","Fargo Force","USHL"
"1","26","St. Louis","Tage Thompson","C","U of Connecticut","HEast"
"1","27","Tampa Bay","Brett Howden","C","Moose Jaw Warriors","WHL"
"1","28","Washington","Lucas Johansen","D","Kelowna Rockets","WHL"
"1","29","Boston","Trent Frederic","C","US National Development Team","USHL"
"1","30","Anaheim","Sam Steel","C","Regina Pats","WHL"
"2","31","Toronto","Yegor Korshkov","R","Yaroslavl Lokomotiv","KHL"
"2","32","Edmonton","Tyler Benson","L","Vancouver Giants","WHL"
"2","33","Buffalo","Rasmus Asplund","C","Farjestads BK Karlstad","SweHL"
"2","34","Columbus","Andrew Peeke","D","Green Bay Gamblers","USHL"
"2","35","St. Louis","Jordan Kyrou","C","Sarnia Sting","OHL"
"2","36","Philadelphia","Pascal Laberge","C","Victoriaville Tigres","QMJHL"
"2","37","Tampa Bay","Libor Hajek","D","Saskatoon Blades","WHL"
"2","38","Florida","Adam Mascherin","L","Kitchener Rangers","OHL"
"2","39","Chicago","Alex DeBrincat","R","Erie Otters","OHL"
"2","40","Colorado","Cameron Morrison","L","Youngstown Phantoms","USHL"
"2","41","New Jersey","Nathan Bastian","R","Mississauga Steelheads","OHL"
"2","42","Ottawa","Jonathan Dahlen","C","Timra IK","Swe1"
"2","43","Carolina","Janne Kuokkanen","C","Karpat Jrs","Finland"
"2","44","Tampa Bay","Boris Katchouk","L","Sault Ste Marie Greyhounds","OHL"
"2","45","Chicago","Chad Krys","D","US National Development Team","USHL"
"2","46","Detroit","Givani Smith","R","Guelph Storm","OHL"
"2","47","Nashville","Samuel Girard","D","Shawinigan Cataractes","QMJHL"
"2","48","Philadelphia","Carter Hart","G","Everett Silvertips","WHL"
"2","49","Boston","Ryan Lindgren","D","US National Development Team","USHL"
"2","50","Chicago","Artur Kayumov","L","Russia U18 Team",""
"2","51","Los Angeles","Kale Clague","D","Brandon Wheat Kings","WHL"
"2","52","Philadelphia","Wade Allison","R","TriCity Storm","USHL"
"2","53","Detroit","Filip Hronek","D","Hradec Kralove","Czech"
"2","54","Calgary","Tyler Parsons","G","London Knights","OHL"
"2","55","Pittsburgh","Filip Gustavsson","G","Lulea HF","SweHL"
"2","56","Calgary","Dillon Dube","C","Kelowna Rockets","WHL"
"2","57","Toronto","Carl Grundstrom","R","MODO Hockey Ornskoldsvik","SweHL"
"2","58","Tampa Bay","Taylor Raddysh","R","Erie Otters","OHL"
"2","59","St. Louis","Evan Fitzpatrick","G","Sherbrooke Phoenix","QMJHL"
"2","60","San Jose","Dylan Gambrell","C","U of Denver","NCHC"
"2","61","Pittsburgh","Kasper Bjorkqvist","R","Blues Jrs","Finland"
"3","62","Toronto","Joseph Woll","G","US National Development Team","USHL"
"3","63","Edmonton","Markus Niemelainen","D","Saginaw Spirit","OHL"
"3","64","Vancouver","William Lockwood","R","US National Development Team","USHL"
"3","65","Columbus","Vitaly Abramov","R","Gatineau Olympiques","QMJHL"
"3","66","Calgary","Adam Fox","D","US National Development Team","USHL"
"3","67","Carolina","Matt Filipe","L","Cedar Rapids RoughRiders","USHL"
"3","68","Arizona","Cam Dineen","D","North Bay Battalion","OHL"
"3","69","Buffalo","Cliff Pu","R","London Knights","OHL"
"3","70","Montreal","William Bitten","C","Flint Firebirds","OHL"
"3","71","Colorado","Josh Anderson","D","Prince George Cougars","WHL"
"3","72","Toronto","J.D. Greenway","D","US National Development Team","USHL"
"3","73","New Jersey","Joey Anderson","R","US National Development Team","USHL"
"3","74","Carolina","Hudson Elynuik","C","Spokane Chiefs","WHL"
"3","75","Carolina","Jack LaFontaine","G","Janesville Jets","NAHL"
"3","76","Nashville","Rem Pitlick","C","Muskegon Lumberjacks","USHL"
"3","77","Pittsburgh","Connor Hall","D","Kitchener Rangers","OHL"
"3","78","Nashville","Frederic Allard","D","Chicoutimi Sagueneens","QMJHL"
"3","79","Winnipeg","Luke Green","D","Saint John Sea Dogs","QMJHL"
"3","80","New Jersey","Brandon Gignac","C","Shawinigan Cataractes","QMJHL"
"3","81","NY Rangers","Sean Day","D","Mississauga Steelheads","OHL"
"3","82","Philadelphia","Carsen Twarynski","L","Calgary Hitmen","WHL"
"3","83","Chicago","Wouter Peeters","G","Salzburg Jrs","Austria"
"3","84","Edmonton","Matthew Cairns","D","Georgetown Raiders","OJHL"
"3","85","Anaheim","Josh Mahura","D","Red Deer Rebels","WHL"
"3","86","Buffalo","Casey Fitzgerald","D","Boston College","HEast"
"3","87","Washington","Garrett Pilon","C","Kamloops Blazers","WHL"
"3","88","Tampa Bay","Connor Ingram","G","Kamloops Blazers","WHL"
"3","89","Florida","Linus Nassen","D","Lulea HF","SweHL"
"3","90","Dallas","Fredrik Karlstrom","C","AIK Jrs","Sweden"
"3","91","Edmonton","Filip Berglund","D","Skelleftea Jrs","Sweden"
"4","92","Toronto","Adam Brooks","C","Regina Pats","WHL"
